name,email,age,country,university,department,degree
Sri Chan,SriChan8177@gmail.com,21,China,University of Wisconsin - Madison,CSE,PhD
Oliver Singh,OliverSingh8314@gmail.com,25,UK,University of California - Santa Barbara,Maths,PhD
Rachel Singh,RachelSingh3570@gmail.com,22,Mexico,University of California - San Diego,CSE,MS
Stuart Watson,StuartWatson7416@gmail.com,24,France,University of California - Los Angeles,CE,PhD
Monica Greene,MonicaGreene9144@gmail.com,21,Spain,University of Texas - Austin,Bioinformatics,BS
Monica Watson,MonicaWatson6628@gmail.com,20,Germany,University of Michigan,CE,MS
Binny Lee,BinnyLee2832@gmail.com,27,China,University of California - Los Angeles,ECE,BS
Sri Singh,SriSingh9145@gmail.com,21,China,University of Michigan,Bioinformatics,BS
Sri Singh,SriSingh3124@gmail.com,25,Italy,University of Michigan,ECE,PhD
John Chen,JohnChen5155@gmail.com,26,Spain,University of  Washington,Maths,PhD
Rachel Chen,RachelChen6389@gmail.com,28,Germany,University of California - Los Angeles,Maths,PhD
Rachel Chen,RachelChen6535@gmail.com,20,China,University of  Washington,Data Science,PhD
Oliver Greene,OliverGreene2387@gmail.com,25,UK,University of California - Santa Cruz,Maths,MS
Melissa Watson,MelissaWatson1164@gmail.com,21,Germany,University of California - Santa Barbara,CSE,BS
Melissa Chen,MelissaChen4151@gmail.com,20,Italy,University of California - San Diego,Maths,BS
John Shah,JohnShah2116@gmail.com,28,Greece,University of  Washington,ECE,MS
Stuart Wang,StuartWang3579@gmail.com,25,Mexico,University of California - Santa Barbara,ECE,PhD
Monica Lee,MonicaLee2207@gmail.com,26,Australia,University of Texas - Austin,Bioinformatics,MS
Binny Singh,BinnySingh361@gmail.com,27,Spain,University of  Washington,CSE,PhD
Monica Chan,MonicaChan6610@gmail.com,20,Germany,University of  Washington,Bioinformatics,PhD
Monica Chen,MonicaChen9261@gmail.com,28,Australia,University of Wisconsin - Madison,Maths,MS
Binny Chen,BinnyChen9272@gmail.com,27,UK,University of California - San Diego,CE,MS
Binny Chan,BinnyChan9884@gmail.com,25,Italy,University of California - Los Angeles,CE,BS
Melissa Chen,MelissaChen4054@gmail.com,21,Greece,University of Michigan,Maths,BS
Melissa Singh,MelissaSingh2502@gmail.com,28,Germany,University of Wisconsin - Madison,Maths,PhD
Oliver Lee,OliverLee4213@gmail.com,28,Japan,University of Michigan,CSE,BS
Monica Chan,MonicaChan797@gmail.com,25,Italy,University of Pennsylvania,Bioinformatics,PhD
Melissa Greene,MelissaGreene5544@gmail.com,20,Germany,University of California - Santa Cruz,Data Science,MS
John Lee,JohnLee9457@gmail.com,20,USA,University of California - Santa Cruz,Maths,BS
Rachel Lee,RachelLee7364@gmail.com,23,India,University of Wisconsin - Madison,CSE,BS
Stuart Smith,StuartSmith5914@gmail.com,22,India,University of Wisconsin - Madison,ECE,MS
Rachel Chen,RachelChen4033@gmail.com,24,India,University of Wisconsin - Madison,CE,PhD
Monica Chen,MonicaChen255@gmail.com,24,India,University of California - Santa Cruz,Data Science,MS
Oliver Chan,OliverChan2886@gmail.com,23,Spain,University of Texas - Austin,Bioinformatics,BS
Melissa Wang,MelissaWang4980@gmail.com,25,France,University of Wisconsin - Madison,CSE,PhD
John Wang,JohnWang3702@gmail.com,26,USA,University of Texas - Austin,CSE,BS
Binny Shah,BinnyShah4731@gmail.com,24,Greece,University of California - Santa Cruz,Maths,MS
Monica Chan,MonicaChan1713@gmail.com,27,USA,University of California - Santa Barbara,Data Science,PhD
Binny Shah,BinnyShah6727@gmail.com,20,Japan,University of Wisconsin - Madison,Bioinformatics,MS
Sri Lee,SriLee5101@gmail.com,27,France,University of California - San Diego,CSE,BS
Rachel Chen,RachelChen4629@gmail.com,23,Spain,University of Wisconsin - Madison,Maths,MS
Monica Shah,MonicaShah9284@gmail.com,28,France,University of California - San Diego,Maths,MS
Rachel Shah,RachelShah109@gmail.com,28,Italy,University of Pennsylvania,CE,BS
Melissa Singh,MelissaSingh1690@gmail.com,21,China,University of Texas - Austin,CSE,BS
Rachel Lee,RachelLee4815@gmail.com,26,Australia,University of  Washington,CSE,PhD
Joe Shah,JoeShah9648@gmail.com,27,China,University of California - San Diego,CSE,PhD
Melissa Chan,MelissaChan4595@gmail.com,23,Germany,University of Pennsylvania,Maths,PhD
Rachel Lee,RachelLee9729@gmail.com,26,Germany,University of Michigan,Maths,PhD
Oliver Watson,OliverWatson9882@gmail.com,20,Spain,University of California - Los Angeles,ECE,MS
Rachel Singh,RachelSingh4841@gmail.com,20,Australia,University of California - Los Angeles,CSE,PhD
Sri Chen,SriChen7841@gmail.com,28,India,University of Pennsylvania,ECE,BS
Sri Shah,SriShah1002@gmail.com,26,Germany,University of California - San Diego,ECE,PhD
Oliver Chen,OliverChen1343@gmail.com,26,USA,University of California - Los Angeles,Data Science,BS
Joe Greene,JoeGreene2896@gmail.com,22,UK,University of California - Santa Cruz,CSE,PhD
John Chen,JohnChen9210@gmail.com,20,Spain,University of Wisconsin - Madison,CSE,MS
Oliver Shah,OliverShah9346@gmail.com,21,France,University of Pennsylvania,Maths,MS
Stuart Watson,StuartWatson7670@gmail.com,27,Australia,University of California - Santa Barbara,Bioinformatics,MS
John Greene,JohnGreene3817@gmail.com,24,USA,University of California - Los Angeles,ECE,PhD
Monica Shah,MonicaShah8892@gmail.com,28,Japan,University of Michigan,ECE,MS
Melissa Singh,MelissaSingh6125@gmail.com,28,Australia,University of California - Santa Cruz,Bioinformatics,BS
Melissa Chan,MelissaChan6508@gmail.com,25,France,University of Pennsylvania,CSE,MS
Binny Singh,BinnySingh7199@gmail.com,25,Italy,University of Pennsylvania,Data Science,MS
Stuart Lee,StuartLee3817@gmail.com,20,Australia,University of Pennsylvania,CSE,BS
John Shah,JohnShah4551@gmail.com,21,India,University of California - Santa Barbara,CSE,MS
Melissa Chan,MelissaChan5005@gmail.com,24,Spain,University of California - Santa Cruz,ECE,PhD
Joe Lee,JoeLee6031@gmail.com,20,India,University of Pennsylvania,Data Science,MS
Monica Wang,MonicaWang5903@gmail.com,24,Spain,University of California - Santa Cruz,ECE,PhD
Rachel Smith,RachelSmith2014@gmail.com,23,France,University of Wisconsin - Madison,CSE,BS
Monica Shah,MonicaShah6125@gmail.com,23,France,University of California - Los Angeles,Bioinformatics,PhD
John Smith,JohnSmith5104@gmail.com,28,Mexico,University of Pennsylvania,CSE,MS
Binny Shah,BinnyShah6687@gmail.com,22,Italy,University of Pennsylvania,Bioinformatics,BS
Monica Wang,MonicaWang8853@gmail.com,27,Italy,University of Texas - Austin,Data Science,BS
Stuart Chen,StuartChen3059@gmail.com,22,UK,University of Texas - Austin,Data Science,BS
Binny Watson,BinnyWatson6265@gmail.com,25,Australia,University of California - San Diego,CE,PhD
Monica Watson,MonicaWatson3856@gmail.com,22,Australia,University of  Washington,Maths,PhD
Stuart Lee,StuartLee2501@gmail.com,22,Greece,University of  Washington,Data Science,BS
Melissa Shah,MelissaShah6063@gmail.com,23,Italy,University of California - Santa Cruz,CE,BS
Rachel Smith,RachelSmith3015@gmail.com,24,India,University of California - Los Angeles,Data Science,PhD
Stuart Smith,StuartSmith1400@gmail.com,25,Australia,University of Pennsylvania,ECE,PhD
Stuart Shah,StuartShah6209@gmail.com,28,USA,University of Wisconsin - Madison,ECE,PhD
Oliver Greene,OliverGreene6552@gmail.com,20,UK,University of Pennsylvania,Bioinformatics,MS
Melissa Chen,MelissaChen2273@gmail.com,20,Spain,University of Texas - Austin,Maths,BS
Monica Chen,MonicaChen4524@gmail.com,25,Australia,University of California - San Diego,Maths,PhD
Sri Smith,SriSmith9202@gmail.com,26,China,University of Michigan,Bioinformatics,BS
Sri Shah,SriShah3935@gmail.com,23,UK,University of Texas - Austin,Bioinformatics,PhD
Joe Greene,JoeGreene9770@gmail.com,23,China,University of California - Santa Cruz,Bioinformatics,MS
Monica Greene,MonicaGreene123@gmail.com,28,Spain,University of Michigan,Maths,PhD
John Watson,JohnWatson6470@gmail.com,21,UK,University of Pennsylvania,ECE,MS
Melissa Chen,MelissaChen4832@gmail.com,25,Australia,University of California - Santa Cruz,Maths,BS
Melissa Singh,MelissaSingh2618@gmail.com,27,UK,University of Michigan,ECE,PhD
Melissa Greene,MelissaGreene5404@gmail.com,24,China,University of California - Santa Cruz,CE,BS
Sri Wang,SriWang2881@gmail.com,28,UK,University of California - Santa Barbara,Bioinformatics,MS
Oliver Smith,OliverSmith2262@gmail.com,21,Germany,University of Michigan,ECE,BS
Monica Wang,MonicaWang5054@gmail.com,25,Italy,University of Pennsylvania,CE,PhD
Oliver Wang,OliverWang6077@gmail.com,21,Italy,University of Pennsylvania,CSE,MS
Rachel Wang,RachelWang2546@gmail.com,22,Greece,University of California - Santa Cruz,Maths,BS
Melissa Lee,MelissaLee1502@gmail.com,20,India,University of California - Santa Cruz,ECE,PhD
Joe Wang,JoeWang4982@gmail.com,20,China,University of  Washington,CSE,MS
Oliver Chan,OliverChan9414@gmail.com,26,Spain,University of Pennsylvania,Maths,MS
Rachel Greene,RachelGreene5540@gmail.com,24,Mexico,University of Pennsylvania,Maths,MS
Oliver Watson,OliverWatson1184@gmail.com,28,India,University of Wisconsin - Madison,Data Science,MS
Melissa Smith,MelissaSmith138@gmail.com,20,Greece,University of California - Santa Barbara,ECE,BS
John Watson,JohnWatson1925@gmail.com,26,China,University of Michigan,Bioinformatics,BS
Binny Greene,BinnyGreene941@gmail.com,28,India,University of California - Los Angeles,CE,PhD
Stuart Watson,StuartWatson3727@gmail.com,22,Italy,University of Pennsylvania,Data Science,MS
Sri Singh,SriSingh3557@gmail.com,24,France,University of Pennsylvania,ECE,MS
John Singh,JohnSingh9041@gmail.com,26,USA,University of California - Santa Barbara,Maths,MS
Oliver Lee,OliverLee2215@gmail.com,27,France,University of  Washington,Bioinformatics,MS
Joe Lee,JoeLee1609@gmail.com,22,India,University of California - Los Angeles,Bioinformatics,PhD
Oliver Singh,OliverSingh7958@gmail.com,20,Japan,University of Pennsylvania,CE,BS
Melissa Shah,MelissaShah2378@gmail.com,23,China,University of California - Santa Barbara,CE,MS
Sri Wang,SriWang7472@gmail.com,24,Spain,University of California - Santa Barbara,CE,PhD
Melissa Greene,MelissaGreene7900@gmail.com,23,Australia,University of California - Los Angeles,CSE,PhD
Sri Chen,SriChen7794@gmail.com,25,France,University of California - San Diego,Maths,PhD
Monica Wang,MonicaWang4199@gmail.com,20,India,University of California - Los Angeles,Maths,PhD
Melissa Chen,MelissaChen6766@gmail.com,22,France,University of  Washington,ECE,BS
Rachel Shah,RachelShah647@gmail.com,24,Mexico,University of California - Los Angeles,Bioinformatics,BS
Joe Lee,JoeLee5609@gmail.com,23,Australia,University of California - Santa Cruz,Maths,PhD
Binny Greene,BinnyGreene7434@gmail.com,25,Germany,University of California - Los Angeles,Maths,BS
Melissa Shah,MelissaShah4700@gmail.com,26,Spain,University of Wisconsin - Madison,Maths,PhD
Sri Wang,SriWang5695@gmail.com,25,USA,University of Pennsylvania,CSE,PhD
Rachel Lee,RachelLee7267@gmail.com,21,Germany,University of California - San Diego,CE,BS
Oliver Watson,OliverWatson424@gmail.com,21,Mexico,University of Michigan,CSE,PhD
Binny Singh,BinnySingh5842@gmail.com,22,Germany,University of Michigan,Maths,MS
Stuart Smith,StuartSmith1299@gmail.com,25,India,University of California - San Diego,Bioinformatics,MS
Melissa Wang,MelissaWang149@gmail.com,21,Spain,University of California - San Diego,Maths,MS
Monica Wang,MonicaWang9603@gmail.com,23,Japan,University of California - Santa Cruz,Data Science,PhD
Stuart Wang,StuartWang9110@gmail.com,21,Greece,University of California - Santa Cruz,Maths,PhD
Monica Greene,MonicaGreene3749@gmail.com,23,India,University of Pennsylvania,ECE,PhD
Sri Greene,SriGreene1761@gmail.com,23,Italy,University of California - San Diego,Data Science,BS
John Chan,JohnChan8630@gmail.com,24,China,University of California - Santa Cruz,Data Science,MS
John Chan,JohnChan3597@gmail.com,22,Japan,University of Texas - Austin,Maths,BS
Monica Shah,MonicaShah6329@gmail.com,28,Spain,University of Pennsylvania,Data Science,BS
Monica Shah,MonicaShah1138@gmail.com,23,Greece,University of Pennsylvania,Data Science,BS
Stuart Chan,StuartChan206@gmail.com,21,Japan,University of California - Santa Barbara,CE,MS
Joe Chan,JoeChan3275@gmail.com,21,Greece,University of California - Santa Cruz,Data Science,BS
Monica Smith,MonicaSmith843@gmail.com,26,Italy,University of California - Santa Cruz,CSE,BS
John Greene,JohnGreene3095@gmail.com,21,France,University of Michigan,Data Science,BS
Stuart Lee,StuartLee3991@gmail.com,21,India,University of Wisconsin - Madison,CE,MS
Joe Smith,JoeSmith9480@gmail.com,28,China,University of  Washington,ECE,MS
Stuart Singh,StuartSingh1904@gmail.com,26,Greece,University of California - Santa Cruz,Data Science,BS
John Chan,JohnChan3649@gmail.com,25,Italy,University of Michigan,CSE,BS
John Watson,JohnWatson1149@gmail.com,21,India,University of California - Santa Cruz,Bioinformatics,BS
Joe Singh,JoeSingh9127@gmail.com,23,UK,University of Wisconsin - Madison,CE,BS
Rachel Shah,RachelShah431@gmail.com,20,Japan,University of Texas - Austin,Bioinformatics,MS
Sri Chen,SriChen4808@gmail.com,28,China,University of Wisconsin - Madison,Maths,PhD
Monica Smith,MonicaSmith4201@gmail.com,22,China,University of Wisconsin - Madison,CE,BS
Joe Chen,JoeChen2579@gmail.com,28,India,University of  Washington,Bioinformatics,BS
Melissa Chen,MelissaChen4489@gmail.com,24,France,University of  Washington,ECE,PhD
Monica Smith,MonicaSmith6191@gmail.com,22,Italy,University of Wisconsin - Madison,Data Science,BS
Joe Wang,JoeWang4746@gmail.com,23,India,University of California - San Diego,Data Science,PhD
Rachel Watson,RachelWatson1841@gmail.com,21,Japan,University of California - San Diego,ECE,PhD
John Wang,JohnWang8406@gmail.com,23,UK,University of  Washington,CE,MS
Joe Wang,JoeWang1441@gmail.com,22,India,University of California - Santa Cruz,CE,MS
Rachel Smith,RachelSmith7704@gmail.com,23,France,University of  Washington,Data Science,BS
Oliver Watson,OliverWatson3145@gmail.com,21,France,University of California - Los Angeles,ECE,MS
John Singh,JohnSingh9797@gmail.com,26,Italy,University of Texas - Austin,CE,MS
Sri Singh,SriSingh223@gmail.com,25,Spain,University of Michigan,CSE,MS
Joe Smith,JoeSmith8183@gmail.com,22,France,University of California - Santa Cruz,Bioinformatics,BS
Melissa Chen,MelissaChen1922@gmail.com,28,USA,University of Pennsylvania,CE,MS
Stuart Shah,StuartShah4616@gmail.com,25,Japan,University of Pennsylvania,Bioinformatics,PhD
John Shah,JohnShah5894@gmail.com,28,Spain,University of Texas - Austin,CSE,MS
Melissa Wang,MelissaWang8796@gmail.com,24,Greece,University of California - Santa Cruz,Maths,PhD
Joe Chen,JoeChen7711@gmail.com,23,Greece,University of California - Los Angeles,ECE,MS
Monica Greene,MonicaGreene1287@gmail.com,22,India,University of Wisconsin - Madison,CE,BS
Joe Lee,JoeLee5688@gmail.com,21,France,University of Pennsylvania,Data Science,BS
Joe Singh,JoeSingh9041@gmail.com,22,China,University of California - San Diego,Data Science,MS
Stuart Shah,StuartShah7961@gmail.com,22,USA,University of Michigan,CE,MS
Monica Smith,MonicaSmith5829@gmail.com,22,Greece,University of Pennsylvania,ECE,BS
Oliver Smith,OliverSmith3843@gmail.com,26,China,University of Texas - Austin,CE,PhD
Joe Chen,JoeChen4294@gmail.com,22,India,University of California - Santa Barbara,CSE,MS
Monica Wang,MonicaWang5728@gmail.com,22,Australia,University of Texas - Austin,CSE,PhD
Rachel Wang,RachelWang377@gmail.com,23,Japan,University of Wisconsin - Madison,Data Science,BS
Sri Lee,SriLee2476@gmail.com,27,India,University of California - San Diego,Maths,PhD
John Lee,JohnLee6155@gmail.com,27,Germany,University of California - San Diego,CSE,BS
John Watson,JohnWatson2941@gmail.com,22,China,University of California - Santa Barbara,Maths,MS
Stuart Lee,StuartLee5305@gmail.com,21,China,University of Texas - Austin,CSE,BS
Oliver Chan,OliverChan424@gmail.com,26,Spain,University of California - Los Angeles,Bioinformatics,PhD
Sri Chen,SriChen5701@gmail.com,20,China,University of Texas - Austin,Maths,PhD
John Smith,JohnSmith4628@gmail.com,21,China,University of California - Los Angeles,CE,PhD
Stuart Chen,StuartChen2483@gmail.com,22,Spain,University of Wisconsin - Madison,Data Science,PhD
John Smith,JohnSmith7517@gmail.com,22,Greece,University of  Washington,ECE,MS
Stuart Smith,StuartSmith9163@gmail.com,20,USA,University of California - Santa Barbara,CE,BS
Melissa Wang,MelissaWang3080@gmail.com,23,Greece,University of California - Santa Barbara,CSE,PhD
Binny Singh,BinnySingh2092@gmail.com,25,France,University of Michigan,Data Science,MS
Sri Chen,SriChen1750@gmail.com,24,Mexico,University of California - San Diego,CE,MS
Joe Watson,JoeWatson6950@gmail.com,28,Australia,University of California - Los Angeles,Data Science,MS
Oliver Lee,OliverLee6359@gmail.com,20,France,University of California - Santa Barbara,CSE,PhD
Binny Smith,BinnySmith7771@gmail.com,24,Mexico,University of Pennsylvania,Maths,MS
Stuart Watson,StuartWatson2245@gmail.com,28,India,University of Pennsylvania,Data Science,BS
